Nazwa kierunku,Poziom kształcenia,Profil kształcenia,Tytuł zawodowy,Forma kształcenia,Dyscyplina (Obszar/Dziedzina),Instytucja/jednostka
Automatyka i informatyka przemysłowa,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
górnictwo i geologia inżynierska (Obszar nauk technicznych/dziedzina nauk technicznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Politechnika Śląska; Wydział Górnictwa i Geologii
Automatyka i informatyka przemysłowa,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
górnictwo i geologia inżynierska (Obszar nauk technicznych/dziedzina nauk technicznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Politechnika Śląska; Wydział Górnictwa i Geologii
Bioinformatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)","Uniwersytet Gdański; Wydział Matematyki, Fizyki i Informatyki"
Bioinformatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biochemia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biotechnologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Biologii
Bioinformatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biochemia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biotechnologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Biologii
Bioinformatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biochemia (Obszar nauk ścisłych/dziedzina nauk chemicznych)
biofizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
biotechnologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
chemia (Obszar nauk ścisłych/dziedzina nauk chemicznych)
ekologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
mikrobiologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
ochrona środowiska (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)",Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydział Geograficzno-Biologiczny
Bioinformatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biochemia (Obszar nauk ścisłych/dziedzina nauk chemicznych)
biofizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
biotechnologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
chemia (Obszar nauk ścisłych/dziedzina nauk chemicznych)
ekologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
mikrobiologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
ochrona środowiska (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)",Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydział Geograficzno-Biologiczny
Bioinformatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
zootechnika (Obszar nauk rolniczych, leśnych i weterynaryjnych/dziedzina nauk rolniczych)",Uniwersytet Przyrodniczy we Wrocławiu; Wydział Biologii i Hodowli Zwierząt
Bioinformatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
biochemia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
chemia (Obszar nauk ścisłych/dziedzina nauk chemicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wrocławska Wyższa Szkoła Informatyki Stosowanej we Wrocławiu; Wydział Bioinformatyki
Bioinformatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
biochemia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
chemia (Obszar nauk ścisłych/dziedzina nauk chemicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wrocławska Wyższa Szkoła Informatyki Stosowanej we Wrocławiu; Wydział Bioinformatyki
